app,sched,plat_size,wildmetric,step_time
leanmd,Distributed,128,10,349.459887
leanmd,Distributed,128,10,170.332193
leanmd,Distributed,128,10,488.293886
leanmd,Distributed,128,10,201.174021
leanmd,Distributed,128,10,307.307005
leanmd,Distributed,128,10,181.157827
leanmd,Distributed,128,10,400.685787
leanmd,Distributed,128,10,138.266802
leanmd,Distributed,128,10,321.927071
leanmd,Distributed,128,10,94.867945
leanmd,Distributed,128,10,409.193039
leanmd,Distributed,128,10,171.457052
leanmd,Distributed,128,10,404.793024
leanmd,Distributed,128,10,265.362024
leanmd,Distributed,128,10,315.700054
leanmd,Distributed,128,10,167.383194
leanmd,Distributed,128,10,394.652128
leanmd,Distributed,128,10,154.568195
leanmd,Distributed,128,10,372.870922
leanmd,Distributed,128,10,173.241138
leanmd,Distributed,128,10,529.986143
leanmd,Distributed,128,10,512.856007
leanmd,Distributed,128,10,363.140106
leanmd,Distributed,128,10,491.945028
leanmd,Distributed,128,10,226.999044
leanmd,Distributed,128,10,232.737064
leanmd,Distributed,128,10,215.569973
leanmd,Distributed,128,10,183.573008
leanmd,Distributed,128,10,168.244839
leanmd,Distributed,128,10,122.645140
leanmd,Distributed,128,10,355.072021
leanmd,Distributed,128,10,279.408216
leanmd,Distributed,128,10,240.695000
leanmd,Distributed,128,10,350.347042
leanmd,Distributed,128,10,317.483902
leanmd,Distributed,128,10,224.947929
leanmd,Distributed,128,10,345.525026
leanmd,Distributed,128,10,153.043985
leanmd,Distributed,128,10,347.456932
leanmd,Distributed,128,10,170.953989
leanmd,Distributed,128,10,320.196867
leanmd,Distributed,128,10,200.909138
leanmd,Distributed,128,10,502.170086
leanmd,Distributed,128,10,190.325975
leanmd,Distributed,128,10,351.206064
leanmd,Distributed,128,10,151.752949
leanmd,Distributed,128,10,367.040157
leanmd,Distributed,128,10,147.459984
leanmd,Distributed,128,10,359.308004
leanmd,Distributed,128,10,79.056025
leanmd,Distributed,128,10,337.365866
leanmd,Distributed,128,10,235.131025
leanmd,Distributed,128,10,543.153048
leanmd,Distributed,128,10,177.497864
leanmd,Distributed,128,10,394.217968
leanmd,Distributed,128,10,96.707106
leanmd,Distributed,128,10,366.266012
leanmd,Distributed,128,10,143.858194
leanmd,Distributed,128,10,367.023945
leanmd,Distributed,128,10,152.160883
leanmd,Distributed,128,10,316.223860
leanmd,Distributed,128,10,199.332952
leanmd,Distributed,128,10,535.068035
leanmd,Distributed,128,10,173.283100
leanmd,Distributed,128,10,361.351013
leanmd,Distributed,128,10,134.674072
leanmd,Distributed,128,10,381.111145
leanmd,Distributed,128,10,128.679991
leanmd,Distributed,128,10,365.490913
leanmd,Distributed,128,10,77.229023
leanmd,Distributed,128,10,390.919924
leanmd,Distributed,128,10,174.710035
leanmd,Distributed,128,10,499.758005
leanmd,Distributed,128,10,189.633131
leanmd,Distributed,128,10,318.368912
leanmd,Distributed,128,10,183.393955
leanmd,Distributed,128,10,376.628160
