sched,app,period,step_time
dist,leanmd,long,174.028873
dist,leanmd,long,353.406906
dist,leanmd,long,177.752018
dist,leanmd,long,333.939791
dist,leanmd,long,148.509026
dist,leanmd,long,402.261972
dist,leanmd,long,138.047934
dist,leanmd,long,361.567974
dist,leanmd,long,142.726898
dist,leanmd,long,388.367891
dist,leanmd,long,156.973124
dist,leanmd,long,351.984978
dist,leanmd,long,134.817839
dist,leanmd,long,323.212147
dist,leanmd,long,195.982218
dist,leanmd,long,453.984022
dist,leanmd,long,102.711916
dist,leanmd,long,400.637150
dist,leanmd,long,180.027008
dist,leanmd,long,365.658045
dist,leanmd,long,134.516001
dist,leanmd,long,418.367147
dist,leanmd,long,120.821953
dist,leanmd,long,469.113111
dist,leanmd,long,41.631937
dist,leanmd,long,369.780064
dist,leanmd,long,125.149965
dist,leanmd,long,223.192930
dist,leanmd,long,306.769133
dist,leanmd,long,373.519897
dist,leanmd,long,173.111200
dist,leanmd,long,365.021944
dist,leanmd,long,118.846893
dist,leanmd,long,423.403025
dist,leanmd,long,72.221041
dist,leanmd,long,211.762905
dist,leanmd,long,259.389162
dist,leanmd,long,332.769871
dist,leanmd,long,260.964870
dist,leanmd,long,240.777969
dist,leanmd,long,249.233007
dist,leanmd,long,243.501186
dist,leanmd,long,316.636086
dist,leanmd,long,475.307941
dist,leanmd,long,71.775913
dist,leanmd,long,276.999950
dist,leanmd,long,307.349920
dist,leanmd,long,286.092043
dist,leanmd,long,234.864950
dist,leanmd,long,273.300886
dist,leanmd,long,262.522936
dist,leanmd,long,520.859003
dist,leanmd,long,129.799128
dist,leanmd,long,436.422110
dist,leanmd,long,191.874981
dist,leanmd,long,248.449087
dist,leanmd,long,223.151922
dist,leanmd,long,415.597916
dist,leanmd,long,122.972965
dist,leanmd,long,497.750998
dist,leanmd,long,77.420950
dist,leanmd,long,408.320904
dist,leanmd,long,119.726896
dist,leanmd,long,397.586107
dist,leanmd,long,120.412827
dist,leanmd,long,295.211077
dist,leanmd,long,231.101036
dist,leanmd,long,183.259010
dist,leanmd,long,262.830019
dist,leanmd,long,282.489061
dist,leanmd,long,274.164915
dist,leanmd,long,278.959990
dist,leanmd,long,285.979986
dist,leanmd,long,289.811850
dist,leanmd,long,312.113047
dist,leanmd,long,561.983109
dist,leanmd,long,517.830133
dist,leanmd,long,426.847935
dist,leanmd,long,308.819056
dist,leanmd,long,215.144873
dist,leanmd,long,192.734003
dist,leanmd,long,197.949886
dist,leanmd,long,173.218966
dist,leanmd,long,189.402103
dist,leanmd,long,222.577810
dist,leanmd,long,394.338846
dist,leanmd,long,243.846893
dist,leanmd,long,244.022131
dist,leanmd,long,275.030136
dist,leanmd,long,424.616098
dist,leanmd,long,198.998213
dist,leanmd,long,365.970135
dist,leanmd,long,190.143108
dist,leanmd,long,324.486971
dist,leanmd,long,244.841099
dist,leanmd,long,236.273050
dist,leanmd,long,197.367907
dist,leanmd,long,332.616091
dist,leanmd,long,252.041101
dist,leanmd,long,311.732054
dist,leanmd,long,200.291872
dist,leanmd,long,364.704132
dist,leanmd,long,146.188021
dist,leanmd,long,366.121054
dist,leanmd,long,157.316923
dist,leanmd,long,344.395876
dist,leanmd,long,157.675028
dist,leanmd,long,352.569103
dist,leanmd,long,156.871080
dist,leanmd,long,384.165049
dist,leanmd,long,143.783808
dist,leanmd,long,358.508825
dist,leanmd,long,154.345036
dist,leanmd,long,301.528931
dist,leanmd,long,200.948000
dist,leanmd,long,391.342878
dist,leanmd,long,174.150944
dist,leanmd,long,311.613083
dist,leanmd,long,229.220867
dist,leanmd,long,427.380085
dist,leanmd,long,160.009146
dist,leanmd,long,413.192034
dist,leanmd,long,94.486952
dist,leanmd,long,418.569088
dist,leanmd,long,156.409979
dist,leanmd,long,321.336031
dist,leanmd,long,162.888050
dist,leanmd,long,438.755989
dist,leanmd,long,154.941797
dist,leanmd,long,325.420141
dist,leanmd,long,146.012068
dist,leanmd,long,344.047785
dist,leanmd,long,199.183941
dist,leanmd,long,382.452011
dist,leanmd,long,182.557106
dist,leanmd,long,328.859806
dist,leanmd,long,98.317146
dist,leanmd,long,311.961889
dist,leanmd,long,168.766022
dist,leanmd,long,423.382998
dist,leanmd,long,149.359941
dist,leanmd,long,378.375053
dist,leanmd,long,124.297857
dist,leanmd,long,404.267073
dist,leanmd,long,116.688013
dist,leanmd,long,350.435972
dist,leanmd,long,348.783970
dist,leanmd,long,224.858046
dist,leanmd,long,251.402855
dist,leanmd,long,282.068968
dist,leanmd,long,332.704782
dist,leanmd,long,216.632843
dist,leanmd,long,250.877857
dist,leanmd,long,224.725962
dist,leanmd,long,384.594917
dist,leanmd,long,205.427885
dist,leanmd,long,300.158024
dist,leanmd,long,239.276171
dist,leanmd,long,347.340107
dist,leanmd,long,217.884064
dist,leanmd,long,302.022934
dist,leanmd,long,170.643091
dist,leanmd,long,319.175005
dist,leanmd,long,284.909964
dist,leanmd,long,257.957935
dist,leanmd,long,223.219872
dist,leanmd,long,310.278177
dist,leanmd,long,239.414215
dist,leanmd,long,263.411999
dist,leanmd,long,325.911999
dist,leanmd,long,261.106968
dist,leanmd,long,317.929983
dist,leanmd,long,231.553078
dist,leanmd,long,205.780029
dist,leanmd,long,364.372015
dist,leanmd,long,532.274008
dist,leanmd,long,567.667007
dist,leanmd,long,434.007168
dist,leanmd,long,228.796959
dist,leanmd,long,179.233074
dist,leanmd,long,205.442905
dist,leanmd,long,194.385052
dist,leanmd,long,197.536945
dist,leanmd,long,203.752995
dist,leanmd,long,231.921911
dist,leanmd,long,471.010923
dist,leanmd,long,255.532980
dist,leanmd,long,235.031128
dist,leanmd,long,257.490873
dist,leanmd,long,321.133852
dist,leanmd,long,231.891870
dist,leanmd,long,394.325018
dist,leanmd,long,208.967924
dist,leanmd,long,330.567122
dist,leanmd,long,288.188934
dist,leanmd,long,237.003803
dist,leanmd,long,261.781931
dist,leanmd,long,323.832035
dist,leanmd,long,194.663048
dist,leanmd,long,313.179016
dist,leanmd,long,170.663118
dist,leanmd,long,365.220785
dist,leanmd,long,151.498079
dist,leanmd,long,369.008064
dist,leanmd,long,133.238077
dist,leanmd,long,399.594069
dist,leanmd,long,158.385992
dist,leanmd,long,380.845070
dist,leanmd,long,156.542063
dist,leanmd,long,342.368126
dist,leanmd,long,156.255007
dist,leanmd,long,368.275166
dist,leanmd,long,135.791063
dist,leanmd,long,342.852116
dist,leanmd,long,148.190975
dist,leanmd,long,471.927881
dist,leanmd,long,109.720945
dist,leanmd,long,323.523045
dist,leanmd,long,206.016064
dist,leanmd,long,386.476994
dist,leanmd,long,126.779079
dist,leanmd,long,414.461136
dist,leanmd,long,130.172968
