sched,app,step_time
distributed,leanmd,2197.273016
distributed,leanmd,1235.623837
distributed,leanmd,1835.768938
distributed,leanmd,1691.972971
distributed,leanmd,1438.987970
distributed,leanmd,1550.240040
distributed,leanmd,1691.431999
distributed,leanmd,1476.385832
distributed,leanmd,1509.387970
distributed,leanmd,756.482840
distributed,leanmd,1442.095041
distributed,leanmd,1161.087990
distributed,leanmd,1527.143955
distributed,leanmd,1149.547815
distributed,leanmd,1699.154139
distributed,leanmd,1027.695179
distributed,leanmd,1556.318998
distributed,leanmd,1177.648067
distributed,leanmd,1544.405937
distributed,leanmd,722.270966
distributed,leanmd,1632.998943
distributed,leanmd,396.501064
distributed,leanmd,1544.387102
distributed,leanmd,619.067192
distributed,leanmd,1252.310991
distributed,leanmd,576.880932
distributed,leanmd,1264.864206
distributed,leanmd,499.164104
distributed,leanmd,1512.413025
distributed,leanmd,538.274050
distributed,leanmd,1751.883030
distributed,leanmd,734.601021
distributed,leanmd,1472.023010
distributed,leanmd,509.787083
distributed,leanmd,900.596857
distributed,leanmd,824.280024
distributed,leanmd,1365.113974
distributed,leanmd,601.409197
distributed,leanmd,1873.226881
distributed,leanmd,405.245066
distributed,leanmd,1800.682068
distributed,leanmd,405.391932
distributed,leanmd,1432.521820
distributed,leanmd,650.344849
distributed,leanmd,1232.563019
distributed,leanmd,644.371986
distributed,leanmd,1442.975998
distributed,leanmd,358.783960
distributed,leanmd,1596.795082
distributed,leanmd,815.952063
distributed,leanmd,1762.308121
distributed,leanmd,322.432041
distributed,leanmd,1369.852066
distributed,leanmd,395.422935
distributed,leanmd,1369.918823
distributed,leanmd,971.230984
distributed,leanmd,1344.269991
distributed,leanmd,441.949129
distributed,leanmd,1607.097864
distributed,leanmd,682.389975
distributed,leanmd,1621.904135
distributed,leanmd,577.603102
distributed,leanmd,1400.899172
distributed,leanmd,396.886826
distributed,leanmd,1331.521988
distributed,leanmd,574.269056
distributed,leanmd,1587.382078
distributed,leanmd,465.728045
distributed,leanmd,1692.211866
distributed,leanmd,682.554960
distributed,leanmd,1551.615000
distributed,leanmd,429.144144
distributed,leanmd,1619.654894
distributed,leanmd,289.680004
distributed,leanmd,1544.522047
distributed,leanmd,470.255136
distributed,leanmd,1416.785955
distributed,leanmd,645.795822
distributed,leanmd,1510.529995
distributed,leanmd,756.181002
distributed,leanmd,1803.483963
distributed,leanmd,249.600887
distributed,leanmd,1512.768030
distributed,leanmd,500.524998
distributed,leanmd,1585.749149
distributed,leanmd,396.246910
distributed,leanmd,1944.390059
distributed,leanmd,107.463837
distributed,leanmd,1273.616076
distributed,leanmd,1079.999924
distributed,leanmd,1835.687876
distributed,leanmd,358.107805
distributed,leanmd,1730.334997
distributed,leanmd,283.077002
distributed,leanmd,1659.207106
distributed,leanmd,249.524117
distributed,leanmd,1585.510015
distributed,leanmd,467.142105
distributed,leanmd,2744.212151
distributed,leanmd,1036.344767
distributed,leanmd,2773.069143
distributed,leanmd,1359.222889
distributed,leanmd,1762.445927
distributed,leanmd,1723.056078
distributed,leanmd,1584.217072
distributed,leanmd,1585.232973
distributed,leanmd,1584.863901
distributed,leanmd,1329.918861
distributed,leanmd,1373.336077
distributed,leanmd,1004.204988
distributed,leanmd,1619.775772
distributed,leanmd,1331.327915
distributed,leanmd,2209.066868
distributed,leanmd,1197.728157
distributed,leanmd,1908.113003
distributed,leanmd,1224.020004
distributed,leanmd,1906.707048
distributed,leanmd,1547.662973
distributed,leanmd,1756.670952
distributed,leanmd,608.344078
distributed,leanmd,1729.982853
distributed,leanmd,610.172987
distributed,leanmd,1478.020906
distributed,leanmd,1056.921959
distributed,leanmd,1559.644938
distributed,leanmd,655.881882
distributed,leanmd,1944.309950
distributed,leanmd,575.257063
distributed,leanmd,2052.461863
distributed,leanmd,834.283113
distributed,leanmd,1353.796959
distributed,leanmd,545.971870
distributed,leanmd,1148.267984
distributed,leanmd,474.356890
distributed,leanmd,1800.455093
distributed,leanmd,571.727991
distributed,leanmd,1381.753922
distributed,leanmd,603.049040
distributed,leanmd,1950.295925
distributed,leanmd,463.111877
distributed,leanmd,1690.290928
distributed,leanmd,402.587175
distributed,leanmd,1093.669176
distributed,leanmd,1107.584000
distributed,leanmd,1291.591883
distributed,leanmd,1022.908926
distributed,leanmd,921.556950
distributed,leanmd,325.633049
distributed,leanmd,2169.775009
distributed,leanmd,358.548880
distributed,leanmd,1620.280027
distributed,leanmd,284.904957
distributed,leanmd,1520.678997
distributed,leanmd,863.028049
distributed,leanmd,1078.050852
distributed,leanmd,679.437876
distributed,leanmd,1502.835035
distributed,leanmd,493.874788
distributed,leanmd,2144.093990
distributed,leanmd,290.203810
distributed,leanmd,1751.356125
distributed,leanmd,299.816132
distributed,leanmd,1509.826899
distributed,leanmd,827.636957
distributed,leanmd,1154.726982
distributed,leanmd,1291.331053
distributed,leanmd,721.667051
distributed,leanmd,432.885170
distributed,leanmd,1620.045185
distributed,leanmd,718.528032
distributed,leanmd,1471.936941
distributed,leanmd,507.859945
distributed,leanmd,1525.652170
distributed,leanmd,614.238024
distributed,leanmd,1398.728132
distributed,leanmd,397.957802
distributed,leanmd,1544.803143
distributed,leanmd,485.891104
distributed,leanmd,2037.569046
distributed,leanmd,321.059942
distributed,leanmd,1260.814905
distributed,leanmd,795.587778
distributed,leanmd,1148.706913
distributed,leanmd,937.327862
distributed,leanmd,1089.891195
distributed,leanmd,827.870846
distributed,leanmd,1366.500854
distributed,leanmd,323.059797
distributed,leanmd,1390.291929
distributed,leanmd,807.775974
distributed,leanmd,1620.743990
distributed,leanmd,320.775986
distributed,leanmd,1411.638975
distributed,leanmd,604.710817
distributed,leanmd,1119.739056
distributed,leanmd,750.709057
distributed,leanmd,1298.989058
distributed,leanmd,577.486992
distributed,leanmd,2293.977022
distributed,leanmd,1494.033098
distributed,leanmd,2914.052963
distributed,leanmd,1260.236979
distributed,leanmd,1336.491108
distributed,leanmd,1647.948980
distributed,leanmd,1584.305048
distributed,leanmd,1583.616972
distributed,leanmd,1583.996058
distributed,leanmd,1441.259861
distributed,leanmd,1485.262871
distributed,leanmd,1767.390966
distributed,leanmd,2159.447908
distributed,leanmd,971.617937
distributed,leanmd,2050.029993
distributed,leanmd,1356.578112
distributed,leanmd,1992.227077
distributed,leanmd,1403.251886
distributed,leanmd,1980.329990
distributed,leanmd,1943.854809
distributed,leanmd,1783.363104
distributed,leanmd,951.828003
distributed,leanmd,1765.661001
distributed,leanmd,970.291138
distributed,leanmd,2161.142111
distributed,leanmd,862.651110
distributed,leanmd,1835.203886
distributed,leanmd,1222.763062
distributed,leanmd,1589.597940
distributed,leanmd,1003.975153
distributed,leanmd,1990.402937
distributed,leanmd,608.982086
distributed,leanmd,1371.161938
distributed,leanmd,505.064964
distributed,leanmd,1729.069948
distributed,leanmd,537.330866
distributed,leanmd,1583.992958
distributed,leanmd,1136.862040
