app,sched,plat_size,wildmetric,sched_time
lb_test,Greedy,1142,Ring,0.827538
lb_test,Greedy,1142,Ring,0.056723
lb_test,Greedy,1142,Ring,1.866770
lb_test,Greedy,1142,Ring,0.058280
lb_test,Greedy,1142,Ring,1.412061
lb_test,Greedy,1142,Ring,0.059626
lb_test,Greedy,1142,Ring,0.823397
lb_test,Greedy,1142,Ring,0.056861
lb_test,Greedy,1142,Ring,1.855648
lb_test,Greedy,1142,Ring,0.058866
lb_test,Greedy,1142,Ring,1.071356
lb_test,Greedy,1142,Ring,0.059689
lb_test,Greedy,1142,Ring,0.820866
lb_test,Greedy,1142,Ring,0.056649
lb_test,Greedy,1142,Ring,1.849619
lb_test,Greedy,1142,Ring,0.058518
lb_test,Greedy,1142,Ring,1.470974
lb_test,Greedy,1142,Ring,0.059238
lb_test,Greedy,1142,Ring,1.096757
lb_test,Greedy,1142,Ring,0.056392
lb_test,Greedy,1142,Ring,1.889046
lb_test,Greedy,1142,Ring,0.058455
lb_test,Greedy,1142,Ring,1.447002
lb_test,Greedy,1142,Ring,0.059073
lb_test,Greedy,1142,Ring,0.829475
lb_test,Greedy,1142,Ring,0.056795
lb_test,Greedy,1142,Ring,1.849807
lb_test,Greedy,1142,Ring,0.058436
lb_test,Greedy,1142,Ring,1.437286
lb_test,Greedy,1142,Ring,0.059284
lb_test,Greedy,1142,Ring,1.202040
lb_test,Refine,1142,Ring,0.137257
lb_test,Refine,1142,Ring,0.370493
lb_test,Refine,1142,Ring,0.101862
lb_test,Refine,1142,Ring,0.141068
lb_test,Refine,1142,Ring,0.036067
lb_test,Refine,1142,Ring,0.072002
lb_test,Refine,1142,Ring,0.134933
lb_test,Refine,1142,Ring,0.368574
lb_test,Refine,1142,Ring,0.099586
lb_test,Refine,1142,Ring,0.138810
lb_test,Refine,1142,Ring,0.028862
lb_test,Refine,1142,Ring,0.064998
lb_test,Refine,1142,Ring,0.133775
lb_test,Refine,1142,Ring,0.363619
lb_test,Refine,1142,Ring,0.100019
lb_test,Refine,1142,Ring,0.139359
lb_test,Refine,1142,Ring,0.035714
lb_test,Refine,1142,Ring,0.072003
lb_test,Refine,1142,Ring,0.133118
lb_test,Refine,1142,Ring,0.367517
lb_test,Refine,1142,Ring,0.105160
lb_test,Refine,1142,Ring,0.144487
lb_test,Refine,1142,Ring,0.044082
lb_test,Refine,1142,Ring,0.080503
lb_test,Refine,1142,Ring,0.135841
lb_test,Refine,1142,Ring,0.367539
lb_test,Refine,1142,Ring,0.099840
lb_test,Refine,1142,Ring,0.138907
lb_test,Refine,1142,Ring,0.038834
lb_test,Refine,1142,Ring,0.075211
lb_test,Refine,1142,Ring,0.134237
lb_test,Refine,1142,Ring,0.366055
lb_test,Refine,1142,Ring,0.105014
lb_test,Refine,1142,Ring,0.144095
lb_test,Refine,1142,Ring,0.038448
lb_test,Refine,1142,Ring,0.074437
lb_test,Refine,1142,Ring,0.135399
lb_test,Refine,1142,Ring,0.363436
lb_test,Refine,1142,Ring,0.103673
lb_test,Refine,1142,Ring,0.142830
lb_test,Refine,1142,Ring,0.031227
lb_test,Refine,1142,Ring,0.067461
lb_test,Refine,1142,Ring,0.133672
lb_test,Refine,1142,Ring,0.370536
lb_test,Refine,1142,Ring,0.103522
lb_test,Refine,1142,Ring,0.142917
lb_test,Refine,1142,Ring,0.027560
lb_test,Refine,1142,Ring,0.063614
lb_test,Refine,1142,Ring,0.133853
lb_test,Refine,1142,Ring,0.369448
lb_test,Refine,1142,Ring,0.103978
lb_test,Refine,1142,Ring,0.143465
lb_test,Refine,1142,Ring,0.030233
lb_test,Refine,1142,Ring,0.066520
lb_test,Refine,1142,Ring,0.135292
lb_test,Refine,1142,Ring,0.367702
lb_test,Refine,1142,Ring,0.099586
lb_test,Refine,1142,Ring,0.138844
lb_test,Refine,1142,Ring,0.024548
lb_test,Refine,1142,Ring,0.060684
lb_test,Refine,1142,Ring,0.132174
lb_test,Refine,1142,Ring,0.364306
lb_test,Refine,1142,Ring,0.103643
lb_test,Refine,1142,Ring,0.142688
lb_test,Refine,1142,Ring,0.035821
lb_test,Refine,1142,Ring,0.071981
lb_test,Refine,1142,Ring,0.137382
lb_test,Refine,1142,Ring,0.370721
lb_test,Refine,1142,Ring,0.102419
lb_test,Refine,1142,Ring,0.141931
lb_test,Refine,1142,Ring,0.036854
lb_test,Refine,1142,Ring,0.073077
lb_test,Refine,1142,Ring,0.134420
lb_test,Refine,1142,Ring,0.374914
lb_test,Refine,1142,Ring,0.101634
lb_test,Refine,1142,Ring,0.140721
lb_test,Refine,1142,Ring,0.038207
lb_test,Refine,1142,Ring,0.074511
lb_test,Refine,1142,Ring,0.134345
lb_test,Refine,1142,Ring,0.367989
lb_test,Refine,1142,Ring,0.102693
lb_test,Refine,1142,Ring,0.141813
lb_test,Refine,1142,Ring,0.040411
lb_test,Refine,1142,Ring,0.076715
lb_test,Refine,1142,Ring,0.136228
lb_test,Refine,1142,Ring,0.369324
lb_test,Refine,1142,Ring,0.110538
lb_test,Refine,1142,Ring,0.149704
lb_test,Refine,1142,Ring,0.044685
lb_test,Refine,1142,Ring,0.081029
lb_test,Distributed,1142,Ring,1.111133
lb_test,Distributed,1142,Ring,0.826202
lb_test,Distributed,1142,Ring,0.778134
lb_test,Distributed,1142,Ring,0.974559
lb_test,Distributed,1142,Ring,0.865858
lb_test,Distributed,1142,Ring,0.741649
lb_test,Distributed,1142,Ring,1.080316
lb_test,Distributed,1142,Ring,0.809722
lb_test,Distributed,1142,Ring,0.779147
lb_test,Distributed,1142,Ring,1.022868
lb_test,Distributed,1142,Ring,0.826913
lb_test,Distributed,1142,Ring,0.775784
lb_test,Distributed,1142,Ring,1.037378
lb_test,Distributed,1142,Ring,0.837541
lb_test,Distributed,1142,Ring,0.754757
lb_test,Distributed,1142,Ring,1.028265
lb_test,Distributed,1142,Ring,0.867177
lb_test,Distributed,1142,Ring,0.805928
lb_test,Distributed,1142,Ring,1.017743
lb_test,Distributed,1142,Ring,0.858209
lb_test,Distributed,1142,Ring,0.818704
lb_test,Distributed,1142,Ring,1.020917
lb_test,Distributed,1142,Ring,0.820973
lb_test,Distributed,1142,Ring,0.818966
lb_test,Distributed,1142,Ring,0.990326
lb_test,Distributed,1142,Ring,0.863329
lb_test,Distributed,1142,Ring,0.782288
lb_test,Distributed,1142,Ring,1.055492
lb_test,Distributed,1142,Ring,0.846749
lb_test,Distributed,1142,Ring,0.757100
lb_test,Distributed,1142,Ring,1.027378
lb_test,Distributed,1142,Ring,0.849238
lb_test,Distributed,1142,Ring,0.724870
lb_test,Distributed,1142,Ring,1.001494
lb_test,Distributed,1142,Ring,0.803372
lb_test,Distributed,1142,Ring,0.778306
lb_test,Distributed,1142,Ring,0.975243
lb_test,Distributed,1142,Ring,0.813489
lb_test,Distributed,1142,Ring,0.772799
lb_test,Distributed,1142,Ring,1.015495
lb_test,Distributed,1142,Ring,0.867729
lb_test,Distributed,1142,Ring,0.750966
lb_test,Distributed,1142,Ring,1.008036
lb_test,Distributed,1142,Ring,0.860499
lb_test,Distributed,1142,Ring,0.766490
lb_test,Dummy,1728,Ring,0.000226
lb_test,Dummy,1728,Ring,0.307379
lb_test,Dummy,1728,Ring,0.000184
lb_test,Dummy,1728,Ring,0.037576
lb_test,Dummy,1728,Ring,0.000190
lb_test,Dummy,1728,Ring,0.037342
lb_test,Dummy,1728,Ring,0.000224
lb_test,Dummy,1728,Ring,0.306200
lb_test,Dummy,1728,Ring,0.000188
lb_test,Dummy,1728,Ring,0.037641
lb_test,Dummy,1728,Ring,0.000191
lb_test,Dummy,1728,Ring,0.037500
lb_test,Dummy,1728,Ring,0.000221
lb_test,Dummy,1728,Ring,0.309599
lb_test,Dummy,1728,Ring,0.000340
